customer_id,name,phone_number,email,city,state,join_date,status
1,Jason Edwards,8260408761,brenda62@davis-sweeney.biz,East Matthewland,South Carolina,28-06-2022,Inactive
2,Kenneth Boyer,435939332,rhondasmith@johnston.com,New Troyville,Illinois,04-04-2023,Active
3,Linda Reynolds,7153037118,mullinssamuel@gmail.com,Anitatown,Vermont,27-11-2023,Active
4,Lynn Fisher,3139666350,patrick97@yahoo.com,Port Michele,South Carolina,10-11-2022,Inactive
5,Yolanda Hernandez,774378369,kyle24@gmail.com,Amyland,Utah,15-09-2023,Inactive
6,Zachary Webb,3482887930,dtucker@hotmail.com,Christineland,Michigan,30-06-2024,Active
7,John Miller,2608524471,breanna68@hotmail.com,Murilloshire,Massachusetts,18-03-2024,Inactive
8,Heather Rodriguez,7992667252,garymelton@patterson.org,New Lisa,Massachusetts,10-10-2023,Inactive
9,Christina Ross,9695171144,james65@sandoval.info,Port Ryan,Connecticut,06-05-2024,Inactive
10,Daniel Hodges,649675434,devinmyers@yahoo.com,Russelltown,Florida,01-04-2022,Active
11,Andrew Turner,3612653332,craigromero@gmail.com,East Daniel,Tennessee,01-07-2021,Inactive
12,David Cook,7188947099,zmartin@park.biz,Lambertburgh,Connecticut,18-06-2024,Active
13,Gregory Crawford,4786694876,bblair@yahoo.com,Hernandezmouth,Oklahoma,23-12-2020,Inactive
14,Andrew Mccann,8812571334,ashleyhahn@hotmail.com,Haynesbury,Washington,31-07-2023,Inactive
15,Miguel Lutz,4451249428,julie86@smith.com,West Meredith,Arkansas,07-04-2024,Active
16,Natalie Johnson,4334621051,peter41@richardson.com,South Robert,Oklahoma,23-05-2023,Inactive
17,Bryan Walker,1074847370,acostarobert@long.org,Schmidtton,Pennsylvania,17-11-2024,Inactive
18,Alyssa Hubbard,3393854558,michaelross@jones.com,Freyshire,Arkansas,27-11-2023,Active
19,Michael Leonard,6780522496,itodd@bell.biz,South Darleneburgh,Illinois,29-07-2025,Active
20,Thomas Gentry,3606574210,gregory42@davis.com,Smithbury,North Dakota,12-06-2024,Inactive
21,Robert Moss,3604220994,royperkins@evans.info,New Brandon,Missouri,20-12-2020,Inactive
22,Erik Gutierrez,7275204887,adamroberson@hotmail.com,Leslieland,Nebraska,24-07-2025,Inactive
23,Michael Brown,7295514273,craigkimberly@wiggins.net,Sonyaberg,Pennsylvania,09-11-2025,Inactive
24,James Johnson,6412118454,david16@watson.com,Simpsonport,North Dakota,11-10-2021,Inactive
